,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.55,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,5,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,7,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8,0.89,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,9,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,0.55,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,13,0.58,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,14,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,15,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,16,0.55,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,17,0.25,01-06-2021 16:40,01-06-2021 16:40,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,18,0.41,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,19,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,20,0.05,01-06-2021 16:40,01-06-2021 16:40,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,21,0.54,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,22,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,23,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,24,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,25,N/A,01-06-2021 16:40,N/A,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,26,0.87,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,27,0.42,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,28,0.86,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,29,0.87,01-06-2021 16:40,01-06-2021 16:41,01-06-2021 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,0.6,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,5,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,6,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,7,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,8,0.27,01-06-2021 16:41,01-06-2021 16:41,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,9,0.12,01-06-2021 16:41,01-06-2021 16:41,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,10,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,11,0.5,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,12,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,13,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,14,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,15,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,16,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,17,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,18,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,19,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,20,0.52,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,21,0.28,01-06-2021 16:41,01-06-2021 16:41,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,22,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,23,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,24,0.92,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,25,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,26,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,0.95,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,28,N/A,01-06-2021 16:41,N/A,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,29,0.75,01-06-2021 16:41,01-06-2021 16:42,01-06-2021 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,0,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,0.14,01-06-2021 16:42,01-06-2021 16:42,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,0.79,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,3,0.76,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,4,0.47,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,5,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,6,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,7,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,8,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,9,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,10,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,11,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,12,0.85,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,13,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,14,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,15,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,16,0.79,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,17,0.05,01-06-2021 16:42,01-06-2021 16:42,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,18,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,19,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,20,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,21,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,22,0.85,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,23,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,24,0.83,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,25,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,26,0.85,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,27,N/A,01-06-2021 16:42,N/A,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,28,0.85,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,29,0.79,01-06-2021 16:42,01-06-2021 16:43,01-06-2021 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,0,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,0.97,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,0.87,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,5,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,6,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,7,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,8,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,9,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,10,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,11,1,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,12,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,13,0.88,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,14,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,15,0.6,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,16,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,17,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,18,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,19,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,20,1,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,21,0.95,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,22,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,23,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,24,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,25,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,26,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,27,0.83,01-06-2021 16:43,01-06-2021 16:44,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,28,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,29,N/A,01-06-2021 16:43,N/A,01-06-2021 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,0,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,1,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,3,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,5,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,6,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,7,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,8,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,9,0.84,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,10,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,11,0.9,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,12,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,13,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,14,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,15,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,16,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,17,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,18,0.52,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,19,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,20,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,21,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,22,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,23,1,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,24,0.32,01-06-2021 16:44,01-06-2021 16:44,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,25,0.77,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,26,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,27,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,28,N/A,01-06-2021 16:44,N/A,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,29,0.91,01-06-2021 16:44,01-06-2021 16:45,01-06-2021 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count ,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,3,2,1,4,1,3,1,1,1,1,2,1,4
Duration ,0.05,0.12,0.14,0.25,0.27,0.28,0.32,0.41,0.42,0.47,0.5,0.52,0.54,0.55,0.58,0.6,0.75,0.76,0.77,0.79,0.83,0.84,0.85,0.89,0.87,0.88,0.9,0.91,0.92,0.95,0.97,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Infected :,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
